Position,Const,Created,Modified,Description,Name,Known For,Birth Date
871,nm0000293,2014-03-10,2014-03-10,,"Sean Bean","The Lord of the Rings: The Fellowship of the Ring","17 de abril de 1959"
872,nm0991810,2017-09-16,2017-09-16,,"Mahershala Ali","Leave the World Behind","16 de febrero de 1974"
873,nm0241049,2014-03-10,2014-03-10,,"Josh Duhamel","Transformers","14 de noviembre de 1972"
874,nm0000552,2014-03-10,2014-03-10,,"Eddie Murphy","The Nutty Professor","3 de abril de 1961"
875,nm0269463,2014-03-10,2014-03-10,,"Jon Favreau","Chef","19 de octubre de 1966"
876,nm0000418,2014-03-10,2014-03-10,,"Danny Glover","Lethal Weapon","22 de julio de 1946"
877,nm2951768,2014-03-10,2014-03-10,,"Freida Pinto","Slumdog Millionaire","18 de octubre de 1984"
878,nm0240381,2014-03-10,2014-03-10,,"Hilary Duff","A Cinderella Story","28 de septiembre de 1987"
879,nm0935541,2014-03-10,2014-03-10,,"Mary Elizabeth Winstead","10 Cloverfield Lane","28 de noviembre de 1984"
880,nm0177639,2014-03-10,2014-03-10,,"Jennifer Coolidge","A Cinderella Story","1 de junio de 1961"
881,nm2057859,2015-03-08,2015-03-08,,"Andrea Riseborough","Birdman or (The Unexpected Virtue of Ignorance)","20 de noviembre de 1981"
882,nm0000208,2015-03-08,2015-03-08,,"Molly Ringwald","Sixteen Candles","18 de febrero de 1968"
883,nm0005064,2014-03-10,2014-03-10,,"January Jones","X: First Class","5 de enero de 1978"
884,nm0748973,2015-03-08,2015-03-08,,"Maya Rudolph","Bridesmaids","27 de julio de 1972"
885,nm0000521,2015-03-08,2015-03-08,,"Sophie Marceau","La boum","17 de noviembre de 1966"
886,nm0004376,2014-03-10,2014-03-10,,"Franka Potente","Lola rennt","22 de julio de 1974"
887,nm2946516,2019-03-19,2019-03-19,,"Claire Foy","First Man","16 de abril de 1984"
888,nm0429069,2014-03-10,2014-03-10,,"Rashida Jones","Parks and Recreation","25 de febrero de 1976"
889,nm0000224,2014-03-10,2014-03-10,,"Alicia Silverstone","Clueless","4 de octubre de 1976"
890,nm0001273,2015-07-05,2015-07-05,,"Lillian Gish","The Night of the Hunter","14 de octubre de 1893"
891,nm1431940,2014-03-10,2014-03-10,,"Evangeline Lilly","The Hobbit: The Desolation of Smaug","3 de agosto de 1979"
892,nm1469236,2019-03-19,2019-03-19,,"Olivia Colman","The Favourite","30 de enero de 1974"
893,nm0257969,2015-03-08,2015-03-08,,"Mireille Enos","World War Z","22 de septiembre de 1975"
894,nm0001349,2014-03-10,2014-03-10,,"Jennifer Love Hewitt","I Know What You Did Last Summer","21 de febrero de 1979"
895,nm0002536,2014-03-10,2014-03-10,,"Emmy Rossum","The Phantom of the Opera","12 de septiembre de 1986"
896,nm1428821,2014-03-10,2014-03-10,,"Joey King","The Act","30 de julio"
897,nm0329481,2014-03-10,2014-03-10,,"Ginnifer Goodwin","Zootopia","22 de mayo de 1978"
898,nm0852132,2014-03-10,2014-03-10,,"Christine Taylor","Dodgeball: A True Underdog Story","30 de julio de 1971"
899,nm1227814,2014-03-10,2014-03-10,,"Vanessa Hudgens","High School Musical 3: Senior Year","14 de diciembre de 1988"
900,nm0180411,2014-03-10,2014-03-10,,"Abbie Cornish","Bright Star","7 de agosto de 1982"
901,nm6073955,2020-08-10,2020-08-10,,"Florence Pugh","The Falling","3 de enero de 1996"
902,nm0000453,2014-03-10,2014-03-10,,"Ian Holm","The Lord of the Rings: The Fellowship of the Ring","12 de septiembre de 1931"
903,nm0001447,2014-03-10,2014-03-10,,"Nathan Lane","The Producers","3 de febrero de 1956"
904,nm0000144,2014-03-10,2014-03-10,,"Cary Elwes","Saw","26 de octubre de 1962"
905,nm0001454,2014-03-10,2014-03-10,,"Martin Lawrence","Martin","16 de abril de 1965"
906,nm0176869,2014-03-10,2014-03-10,,"Steve Coogan","Philomena","14 de octubre de 1965"
907,nm0056187,2014-03-10,2014-03-10,,"Sacha Baron Cohen","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","13 de octubre de 1971"
908,nm0942482,2014-03-10,2014-03-10,,"Jeffrey Wright","The French Dispatch of the Liberty, Kansas Evening Sun","7 de diciembre de 1965"
909,nm0000329,2014-03-10,2014-03-10,,"Jackie Chan","Ngo si seoi","7 de abril de 1954"
910,nm0001173,2014-03-10,2014-03-10,,"Aaron Eckhart","The Dark Knight","12 de marzo de 1968"
911,nm0941777,2014-03-10,2014-03-10,,"Sam Worthington","Avatar","2 de agosto de 1976"
912,nm0202603,2014-03-10,2014-03-10,,"Jack Davenport","Pirates of the Caribbean: Dead Man's Chest","1 de marzo de 1973"
913,nm0000547,2014-03-10,2014-03-10,,"Alfred Molina","Spider-Man 2","24 de mayo de 1953"
914,nm0000347,2019-03-18,2019-03-18,,"Tim Curry","Congo","19 de abril de 1946"
915,nm0000434,2014-03-10,2014-03-10,,"Mark Hamill","Star Wars","25 de septiembre"
916,nm0000409,2014-03-10,2014-03-10,,"Brendan Fraser","The Mummy","3 de diciembre de 1968"
917,nm0001084,2014-03-10,2014-03-10,,"Ice Cube","Untitled Patrick Aiello/Timur Bekmambetov Sci-FI Pic","15 de junio de 1969"
918,nm0000630,2014-03-10,2014-03-10,,"Liev Schreiber","Spotlight","4 de octubre de 1967"
919,nm1159180,2014-03-10,2014-03-10,,"Ed Helms","The Hangover","24 de enero de 1974"
920,nm8402992,2024-12-18,2024-12-18,,"Daisy Edgar-Jones","Normal People","24 de mayo de 1998"
921,nm4960279,2024-12-18,2024-12-18,,"Margaret Qualley","Once Upon a Time in... Hollywood","23 de octubre de 1994"
922,nm0000174,2014-03-10,2014-03-10,,"Val Kilmer","The Doors","31 de diciembre de 1959"
923,nm1258970,2014-03-10,2014-03-10,,"Russell Brand","Arthur","4 de junio de 1975"
924,nm0005266,2014-03-10,2014-03-10,,"Craig T. Nelson","Coach","4 de abril de 1944"
925,nm0005170,2014-03-10,2014-03-10,,"Bernie Mac","The Bernie Mac Show","5 de octubre de 1957"
926,nm0001772,2014-03-10,2014-03-10,,"Patrick Stewart","Logan","13 de julio de 1940"
927,nm0001293,2014-03-10,2014-03-10,,"Seth Green","Robot Chicken","8 de febrero de 1974"
928,nm0005110,2014-03-10,2014-03-10,,"Ashton Kutcher","That '70s Show","7 de febrero de 1978"
929,nm0001642,2014-03-10,2014-03-10,,"Randy Quaid","Kingpin","1 de octubre de 1950"
930,nm0000648,2014-03-10,2014-03-10,,"Wesley Snipes","Blade","31 de julio de 1962"
931,nm0654648,2015-03-08,2015-03-08,,"David Oyelowo","Lawmen: Bass Reeves","1 de abril de 1976"
932,nm0835016,2014-03-10,2014-03-10,,"Mark Strong","1917","5 de agosto de 1963"
933,nm0001705,2014-03-10,2014-03-10,,"Rob Schneider","Deuce Bigalow: Male Gigolo","31 de octubre de 1963"
934,nm0059431,2014-03-10,2014-03-10,,"Jay Baruchel","Goon","9 de abril de 1982"
935,nm0159789,2014-03-10,2014-03-10,,"Hayden Christensen","Star Wars: Episode II - Attack of the Clones","19 de abril de 1981"
936,nm0829032,2014-03-10,2014-03-10,,"Ray Stevenson","The Three Musketeers","25 de mayo de 1964"
937,nm0079273,2014-03-10,2014-03-10,,"Paul Bettany","WandaVision","27 de mayo de 1971"
938,nm0491402,2014-03-10,2014-03-10,,"Hugh Laurie","House M.D.","11 de junio de 1959"
939,nm0000676,2014-03-10,2014-03-10,,"Chris Tucker","Rush Hour 2","31 de agosto de 1971"
940,nm0001006,2019-04-12,2019-04-12,,"John Candy","Planes, Trains & Automobiles","31 de octubre de 1950"
941,nm0000277,2019-03-18,2019-03-18,,"Richard Attenborough","Jurassic Park","29 de agosto de 1923"
942,nm0000563,2014-03-10,2014-03-10,,"Chris O'Donnell","Batman & Robin","26 de junio de 1970"
943,nm0000973,2014-03-10,2014-03-10,,"Benjamin Bratt","Miss Congeniality","16 de diciembre"
944,nm0996669,2014-03-10,2014-03-10,,"Common","Wanted","13 de marzo de 1972"
945,nm0005541,2014-03-10,2014-03-10,,"Marlon Wayans","White Chicks","23 de julio de 1972"
946,nm0000983,2014-03-10,2014-03-10,,"Albert Brooks","Drive","22 de julio de 1947"
947,nm0666739,2019-03-18,2019-03-18,,"Aaron Paul","Breaking Bad","27 de agosto de 1979"
948,nm0000346,2014-03-10,2014-03-10,,"Macaulay Culkin","Home Alone","26 de agosto de 1980"
949,nm0000385,2014-03-10,2014-03-10,,"Sam Elliott","A Star Is Born","9 de agosto de 1944"
950,nm5473782,2019-07-29,2019-07-29,,"Taron Egerton","Kingsman: The Secret Service","10 de noviembre de 1989"
951,nm0001029,2014-03-10,2014-03-10,,"Jim Caviezel","The Passion of the Christ","26 de septiembre de 1968"
952,nm0000062,2019-03-19,2019-03-19,,"Elvis Presley","Girls! Girls! Girls!","8 de enero de 1935"
953,nm1706767,2014-03-09,2014-03-09,,"Jonah Hill","21 Jump Street","20 de diciembre de 1983"
954,nm0437646,2019-07-29,2019-07-29,,"Sung Kang","Furious 6","8 de abril de 1972"
955,nm0837177,2014-03-10,2014-03-10,,"Jason Sudeikis","Ted Lasso","18 de septiembre de 1975"
956,nm0001326,2014-03-10,2014-03-10,,"Josh Hartnett","Lucky Number Slevin","21 de julio de 1978"
957,nm0614165,2014-03-10,2014-03-10,,"Cillian Murphy","28 Days Later","25 de mayo de 1976"
958,nm0001082,2014-03-10,2014-03-10,,"Billy Crudup","Almost Famous","8 de julio de 1968"
959,nm1107001,2014-03-10,2014-03-10,,"Anthony Mackie","The Hurt Locker","23 de septiembre de 1978"
960,nm0000858,2019-03-19,2019-03-19,,"John Barrymore","Twentieth Century","15 de febrero de 1882"
961,nm0648249,2014-03-10,2014-03-10,,"Timothy Olyphant","Justified","20 de mayo de 1968"
962,nm1265802,2014-03-10,2014-03-10,,"Josh Gad","Frozen","23 de febrero de 1981"
963,nm0000708,2019-07-29,2019-07-29,,"Billy Zane","Titanic","24 de febrero de 1966"
964,nm0005561,2014-03-10,2014-03-10,,"Luke Wilson","Old School","21 de septiembre de 1971"
965,nm0765597,2014-03-10,2014-03-10,,"Peter Sarsgaard","Shattered Glass","7 de marzo de 1971"
966,nm0406975,2014-03-10,2014-03-10,,"Rhys Ifans","Notting Hill","22 de julio de 1967"
967,nm0333410,2014-03-10,2014-03-10,,"Topher Grace","In Good Company","12 de julio de 1978"
968,nm0366389,2014-03-10,2014-03-10,,"Kevin Hart","Ride Along","6 de julio de 1979"
969,nm0200452,2014-03-10,2014-03-10,,"Paul Dano","There Will Be Blood","19 de junio de 1984"
970,nm0352778,2015-03-08,2015-03-08,,"Bill Hader","The Skeleton Twins","7 de junio de 1978"
971,nm0000507,2014-03-10,2014-03-10,,"Rob Lowe","St. Elmo's Fire","17 de marzo de 1964"
972,nm0000305,2019-03-19,2019-03-19,,"Mel Blanc","Who Framed Roger Rabbit","30 de mayo de 1908"
973,nm0005450,2014-03-10,2014-03-10,,"David Spade","Joe Dirt","22 de julio de 1964"
974,nm0000448,2014-03-10,2014-03-10,,"Lance Henriksen","Aliens","5 de mayo de 1940"
975,nm0420955,2015-03-08,2015-03-08,,"Richard Jenkins","The Shape of Water","4 de mayo de 1947"
976,nm0000389,2019-03-19,2019-03-19,,"Emilio Estevez","The Way","12 de mayo de 1962"
977,nm1013003,2014-03-10,2014-03-10,,"Michael Ealy","Barbershop","3 de agosto de 1973"
978,nm0068260,2014-03-10,2014-03-10,,"Jamie Bell","Billy Elliot","14 de marzo de 1986"
979,nm1684869,2019-03-19,2019-03-19,,"Troy Baker","The Last of Us","1 de abril de 1976"
980,nm1104131,2014-03-10,2014-03-10,,"Danny McBride","Pineapple Express","29 de diciembre de 1976"
981,nm0001667,2015-07-05,2015-07-05,,"Jonathan Rhys Meyers","Den 12. mann","27 de julio de 1977"
982,nm0148418,2014-03-10,2014-03-10,,"Michael Cera","Scott Pilgrim vs. the World","7 de junio de 1988"
983,nm0000200,2016-06-18,2016-06-18,,"Bill Paxton","Aliens","17 de mayo de 1955"
984,nm0344435,2014-03-10,2014-03-10,,"Ioan Gruffudd","Fantastic Four","6 de octubre de 1973"
985,nm0511088,2016-06-18,2016-06-18,,"Andrew Lincoln","The Walking Dead","14 de septiembre de 1973"
986,nm0000597,2016-06-18,2016-06-18,,"Bill Pullman","Independence Day","17 de diciembre de 1953"
987,nm0732497,2015-03-08,2015-03-08,,"Craig Robinson","This Is the End","25 de octubre de 1971"
988,nm0206359,2014-03-10,2014-03-10,,"Charlie Day","It's Always Sunny in Philadelphia","9 de febrero de 1976"
989,nm1676221,2014-03-10,2014-03-10,,"Andy Samberg","Saturday Night Live","18 de agosto de 1978"
990,nm1330560,2014-03-10,2014-03-10,,"Garrett Hedlund","Tron: Legacy","3 de septiembre de 1984"
991,nm1024677,2014-03-10,2014-03-10,,"John Krasinski","Jack Ryan","20 de octubre de 1979"
992,nm0001659,2014-03-10,2014-03-10,,"Christopher Reeve","Superman","25 de septiembre de 1952"
993,nm0564215,2015-08-13,2015-08-13,,"James McAvoy","Filth","21 de abril de 1979"
994,nm0001722,2014-03-10,2014-03-10,,"Rufus Sewell","A Knight's Tale","29 de octubre de 1967"
995,nm3485845,2019-03-19,2019-03-19,,"Adam Driver","Star Wars: Episode VII - The Force Awakens","19 de noviembre de 1983"
996,nm0000885,2014-03-10,2014-03-10,,"Ned Beatty","Network","6 de julio de 1937"
997,nm0000092,2014-03-10,2014-03-10,,"John Cleese","A Fish Called Wanda","27 de octubre de 1939"
998,nm0001806,2014-03-10,2014-03-10,,"John Turturro","Fading Gigolo","28 de febrero de 1957"
999,nm0001471,2017-09-16,2017-09-16,,"Jerry Lewis","The Nutty Professor","16 de marzo de 1926"
1000,nm8958770,2024-12-18,2024-12-18,,"Paul Mescal","Aftersun","2 de febrero de 1996"
