Position,Const,Created,Modified,Description,Name,Known For,Birth Date
431,nm0005460,2014-03-10,2014-03-10,,"Mary Steenburgen","Last Vegas","8 de febrero de 1953"
432,nm0833152,2014-03-10,2014-03-10,,"Beatrice Straight","Network","2 de agosto de 1914"
433,nm0000603,2014-03-10,2014-03-10,,"Vanessa Redgrave","Atonement","30 de enero de 1937"
434,nm0335519,2014-03-10,2014-03-10,,"Lee Grant","In the Heat of the Night","31 de octubre de 1925"
435,nm0373012,2014-03-10,2014-03-10,,"Eileen Heckart","Butterflies Are Free","29 de marzo de 1919"
436,nm0001458,2014-03-10,2014-03-10,,"Cloris Leachman","The Last Picture Show","30 de abril de 1926"
437,nm0002106,2014-03-10,2014-03-10,,"Ruth Gordon","Rosemary's Baby","30 de octubre de 1896"
438,nm0663820,2014-03-10,2014-03-10,,"Estelle Parsons","Bonnie and Clyde","20 de noviembre de 1927"
439,nm0006800,2014-03-10,2014-03-10,,"Sandy Dennis","Who's Afraid of Virginia Woolf?","27 de abril de 1937"
440,nm0001859,2014-03-10,2014-03-10,,"Shelley Winters","The Poseidon Adventure","18 de agosto de 1920"
441,nm0350454,2014-03-10,2014-03-10,,"Maggie Gyllenhaal","Secretary","16 de noviembre de 1977"
442,nm0005017,2014-03-10,2014-03-10,,"Katie Holmes","Disturbing Behavior","18 de diciembre de 1978"
443,nm0001157,2014-03-10,2014-03-10,,"Patty Duke","Valley of the Dolls","14 de diciembre de 1946"
444,nm0001549,2014-03-10,2014-03-10,,"Rita Moreno","West Side Story","11 de diciembre de 1931"
445,nm0384908,2014-03-10,2014-03-10,,"Wendy Hiller","A Man for All Seasons","15 de agosto de 1912"
446,nm0880855,2014-03-10,2014-03-10,,"Miyoshi Umeki","Sayonara","8 de mayo de 1929"
447,nm0540416,2014-03-10,2014-03-10,,"Dorothy Malone","Written on the Wind","29 de enero de 1924"
448,nm0886888,2014-03-10,2014-03-10,,"Jo Van Fleet","East of Eden","29 de diciembre de 1915"
449,nm0001693,2014-03-10,2014-03-10,,"Eva Marie Saint","On the Waterfront","4 de julio de 1924"
450,nm0002108,2014-03-10,2014-03-10,,"Gloria Grahame","In a Lonely Place","28 de noviembre de 1923"
451,nm0001375,2014-03-10,2014-03-10,,"Kim Hunter","A Streetcar Named Desire","12 de noviembre de 1922"
452,nm0002011,2019-04-12,2019-04-12,,"Lee J. Cobb","12 Angry Men","8 de diciembre de 1911"
453,nm1940449,2014-03-10,2014-03-10,,"Andrew Garfield","Hacksaw Ridge","20 de agosto de 1983"
454,nm0001030,2019-04-12,2019-04-12,,"John Cazale","Dog Day Afternoon","12 de agosto de 1935"
455,nm0719637,2014-03-10,2014-03-10,,"Jeremy Renner","The Hurt Locker","7 de enero de 1971"
456,nm0136797,2014-03-10,2014-03-10,,"Steve Carell","The Office","16 de agosto de 1962"
457,nm0241121,2014-03-09,2014-03-09,,"Jean Dujardin","The Artist","19 de junio de 1972"
458,nm0262635,2014-03-10,2014-03-10,,"Chris Evans","The Avengers","13 de junio de 1981"
459,nm0290556,2014-03-10,2014-03-10,,"James Franco","Spring Breakers","19 de abril de 1978"
460,nm0302108,2014-03-10,2014-03-10,,"Zach Galifianakis","The Hangover","1 de octubre de 1969"
461,nm0002071,2014-03-10,2014-03-10,,"Will Ferrell","Talladega Nights: The Ballad of Ricky Bobby","16 de julio de 1967"
462,nm0479471,2014-03-10,2014-03-10,,"Shia LaBeouf","Honey Boy","11 de junio"
463,nm0736622,2014-03-10,2014-03-10,,"Seth Rogen","This Is the End","15 de abril de 1982"
464,nm0330687,2014-03-10,2014-03-10,,"Joseph Gordon-Levitt","Inception","17 de febrero de 1981"
465,nm0005351,2014-03-10,2014-03-10,,"Ryan Reynolds","Deadpool 2","23 de octubre de 1976"
466,nm0748620,2014-03-10,2014-03-10,,"Paul Rudd","Ant-Man","6 de abril de 1969"
467,nm0781981,2014-03-10,2014-03-10,,"Jason Segel","Forgetting Sarah Marshall","18 de enero de 1980"
468,nm0005458,2014-03-10,2014-03-10,,"Jason Statham","Crank","26 de julio de 1967"
469,nm0001813,2016-06-18,2016-06-18,,"Dick Van Dyke","Mary Poppins","13 de diciembre de 1925"
470,nm0251986,2014-03-10,2014-03-10,,"Jesse Eisenberg","The Social Network","5 de octubre de 1983"
471,nm0005562,2014-03-10,2014-03-10,,"Owen Wilson","The Royal Tenenbaums","18 de noviembre de 1968"
472,nm0000867,2014-03-10,2014-03-10,,"Jason Bateman","Arrested Development","14 de enero de 1969"
473,nm1347153,2014-03-10,2014-03-10,,"Tyler Perry","Diary of a Mad Black Woman","14 de septiembre de 1969"
474,nm2955013,2014-03-10,2014-03-10,,"Liam Hemsworth","The Hunger Games","13 de enero de 1990"
475,nm0000638,2014-03-10,2014-03-10,,"William Shatner","Star Trek V: The Final Frontier","22 de marzo de 1931"
476,nm0000698,2014-03-09,2014-03-09,,"Gene Wilder","Willy Wonka & the Chocolate Factory","11 de junio de 1933"
477,nm0000301,2014-03-10,2014-03-10,,"Thora Birch","Ghost World","11 de marzo de 1982"
478,nm0872456,2014-03-10,2014-03-10,,"Claire Trevor","Key Largo","8 de marzo de 1910"
479,nm0002141,2014-03-10,2014-03-10,,"Celeste Holm","All About Eve","29 de abril de 1917"
480,nm0000879,2014-03-10,2014-03-10,,"Anne Baxter","All About Eve","7 de mayo de 1923"
481,nm0001451,2014-03-10,2014-03-10,,"Queen Latifah","Chicago","18 de marzo de 1970"
482,nm0000856,2014-03-10,2014-03-10,,"Ethel Barrymore","The Spiral Staircase","15 de agosto de 1879"
483,nm0206257,2014-03-10,2014-03-10,,"Rosario Dawson","Rent","9 de mayo de 1979"
484,nm0942863,2014-03-10,2014-03-10,,"Teresa Wright","Shadow of a Doubt","27 de octubre de 1918"
