year_film,year_ceremony,category,name,film,winner,Taquilla,Año Ceremonia,Edad_cris,Raza_cris,Nacionalidad_cris
1946,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,,1932.0,37.0,Blanca,Estados Unidos
1946,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,,1946.0,45.0,Blanca,Reino Unido
1946,1947,ACTOR,Laurence Olivier,Henry V,False,,1958.0,41.0,Hispano,Puerto Rico
1946,1947,ACTOR,Larry Parks,The Jolson Story,False,,,,,
1946,1947,ACTOR,Gregory Peck,The Yearling,False,,1961.0,46.0,Blanca,Estados Unidos
1946,1947,ACTOR,James Stewart,It's a Wonderful Life,False,,1940.0,32.0,Blanca,Estados Unidos
1947,1948,ACTOR,Ronald Colman,A Double Life,True,,1947.0,52.0,Blanca,Estados Unidos
1947,1948,ACTOR,John Garfield,Body and Soul,False,,,,,
1947,1948,ACTOR,Gregory Peck,Gentleman's Agreement,False,,1961.0,46.0,Blanca,Estados Unidos
1947,1948,ACTOR,William Powell,Life with Father,False,,,,,
1947,1948,ACTOR,Michael Redgrave,Mourning Becomes Electra,False,,,,,
1948,1949,ACTOR,Lew Ayres,Johnny Belinda,False,,,,,
1948,1949,ACTOR,Montgomery Clift,The Search,False,,,,,
1948,1949,ACTOR,Dan Dailey,When My Baby Smiles at Me,False,,,,,
1948,1949,ACTOR,Laurence Olivier,Hamlet,True,,1958.0,41.0,Hispano,Puerto Rico
1948,1949,ACTOR,Clifton Webb,Sitting Pretty,False,,,,,
1949,1950,ACTOR,Broderick Crawford,All the King's Men,True,,1949.0,44.0,Blanca,Estados Unidos
1949,1950,ACTOR,Kirk Douglas,Champion,False,,,,,
1949,1950,ACTOR,Gregory Peck,Twelve O'Clock High,False,,1961.0,46.0,Blanca,Estados Unidos
1949,1950,ACTOR,Richard Todd,The Hasty Heart,False,,,,,
1949,1950,ACTOR,John Wayne,Sands of Iwo Jima,False,,1968.0,62.0,Blanca,Estados Unidos
1950,1951,ACTOR,Louis Calhern,The Magnificent Yankee,False,,,,,
1950,1951,ACTOR,José Ferrer,Cyrano de Bergerac,True,,1950.0,41.0,Blanca,Estados Unidos
1950,1951,ACTOR,William Holden,Sunset Blvd.,False,,1952.0,35.0,Blanca,Estados Unidos
1950,1951,ACTOR,James Stewart,Harvey,False,,1940.0,32.0,Blanca,Estados Unidos
1950,1951,ACTOR,Spencer Tracy,Father of the Bride,False,,1937.0,36.0,Blanca,Estados Unidos
1950,1951,ACTOR,Spencer Tracy,Father of the Bride,False,,1938.0,37.0,Blanca,Estados Unidos
1951,1952,ACTOR,Humphrey Bogart,The African Queen,True,,1951.0,54.0,Blanca,Estados Unidos
1951,1952,ACTOR,Marlon Brando,A Streetcar Named Desire,False,,1953.0,30.0,Blanca,Rusia
1951,1952,ACTOR,Marlon Brando,A Streetcar Named Desire,False,,1071.0,48.0,Blanca,Estados Unidos
1951,1952,ACTOR,Montgomery Clift,A Place in the Sun,False,,,,,
1951,1952,ACTOR,Arthur Kennedy,Bright Victory,False,,,,,
1951,1952,ACTOR,Fredric March,Death of a Salesman,False,,1932.0,37.0,Blanca,Estados Unidos
1951,1952,ACTOR,Fredric March,Death of a Salesman,False,,1946.0,45.0,Blanca,Reino Unido
1952,1953,ACTOR,Marlon Brando,Viva Zapata!,False,,1953.0,30.0,Blanca,Rusia
1952,1953,ACTOR,Marlon Brando,Viva Zapata!,False,,1071.0,48.0,Blanca,Estados Unidos
1952,1953,ACTOR,Gary Cooper,High Noon,True,,1941.0,41.0,Blanca,Estados Unidos
1952,1953,ACTOR,Gary Cooper,High Noon,True,,1952.0,53.0,Blanca,Estados Unidos
1952,1953,ACTOR,Kirk Douglas,The Bad and the Beautiful,False,,,,,
1952,1953,ACTOR,José Ferrer,Moulin Rouge,False,,1950.0,41.0,Blanca,Estados Unidos
1952,1953,ACTOR,Alec Guinness,The Lavender Hill Mob,False,,1956.0,53.0,Blanca,Estados Unidos
1953,1954,ACTOR,Marlon Brando,Julius Caesar,False,,1953.0,30.0,Blanca,Rusia
1953,1954,ACTOR,Marlon Brando,Julius Caesar,False,,1071.0,48.0,Blanca,Estados Unidos
1953,1954,ACTOR,Richard Burton,The Robe,False,,,,,
1953,1954,ACTOR,Montgomery Clift,From Here to Eternity,False,,,,,
1953,1954,ACTOR,William Holden,Stalag 17,True,,1952.0,35.0,Blanca,Estados Unidos
